State	series_id	year	month	value	month_year
Georgia	LAUCN130010000000006          	2016	6	9411.0	06_2016
Georgia	LAUCN130010000000006          	2017	6	9429.0	06_2017
Georgia	LAUCN130010000000006          	2018	6	9124.0	06_2018
Georgia	LAUCN130010000000006          	2019	6	9083.0	06_2019
Georgia	LAUCN130010000000006          	2020	6	9096.0	06_2020
Georgia	LAUCN130030000000003          	2015	6	6.0	06_2015
Georgia	LAUCN130030000000003          	2016	6	5.2	06_2016
Georgia	LAUCN130030000000003          	2017	6	5.3	06_2017
Georgia	LAUCN130030000000003          	2018	6	3.6	06_2018
Georgia	LAUCN130030000000003          	2019	6	3.0	06_2019
Georgia	LAUCN130030000000003          	2020	6	4.5	06_2020
Georgia	LAUCN130030000000004          	2015	6	234.0	06_2015
Georgia	LAUCN130030000000004          	2016	6	212.0	06_2016
Georgia	LAUCN130030000000004          	2017	6	228.0	06_2017
Georgia	LAUCN130030000000004          	2018	6	158.0	06_2018
Georgia	LAUCN130030000000004          	2019	6	137.0	06_2019
Georgia	LAUCN130030000000004          	2020	6	198.0	06_2020
Georgia	LAUCN130030000000005          	2015	6	3678.0	06_2015
Georgia	LAUCN130030000000005          	2016	6	3849.0	06_2016
Georgia	LAUCN130030000000005          	2017	6	4102.0	06_2017
Georgia	LAUCN130030000000005          	2018	6	4275.0	06_2018
Georgia	LAUCN130030000000005          	2019	6	4414.0	06_2019
Georgia	LAUCN130030000000005          	2020	6	4231.0	06_2020
Georgia	LAUCN130030000000006          	2015	6	3912.0	06_2015
Georgia	LAUCN130030000000006          	2016	6	4061.0	06_2016
Georgia	LAUCN130030000000006          	2017	6	4330.0	06_2017
Georgia	LAUCN130030000000006          	2018	6	4433.0	06_2018
Georgia	LAUCN130030000000006          	2019	6	4551.0	06_2019
Georgia	LAUCN130030000000006          	2020	6	4429.0	06_2020
Georgia	LAUCN130050000000003          	2015	6	6.1	06_2015
Georgia	LAUCN130050000000003          	2016	6	5.6	06_2016
Georgia	LAUCN130050000000003          	2017	6	4.9	06_2017
Georgia	LAUCN130050000000003          	2018	6	4.0	06_2018
Georgia	LAUCN130050000000003          	2019	6	4.1	06_2019
Georgia	LAUCN130050000000003          	2020	6	5.2	06_2020
Georgia	LAUCN130050000000004          	2015	6	315.0	06_2015
Georgia	LAUCN130050000000004          	2016	6	285.0	06_2016
Georgia	LAUCN130050000000004          	2017	6	256.0	06_2017
Georgia	LAUCN130050000000004          	2018	6	208.0	06_2018
Georgia	LAUCN130050000000004          	2019	6	204.0	06_2019
Georgia	LAUCN130050000000004          	2020	6	253.0	06_2020
Georgia	LAUCN130050000000005          	2015	6	4807.0	06_2015
Georgia	LAUCN130050000000005          	2016	6	4807.0	06_2016
Georgia	LAUCN130050000000005          	2017	6	4975.0	06_2017
Georgia	LAUCN130050000000005          	2018	6	4958.0	06_2018
Georgia	LAUCN130050000000005          	2019	6	4795.0	06_2019
Georgia	LAUCN130050000000005          	2020	6	4589.0	06_2020
Georgia	LAUCN130050000000006          	2015	6	5122.0	06_2015
Georgia	LAUCN130050000000006          	2016	6	5092.0	06_2016
Georgia	LAUCN130050000000006          	2017	6	5231.0	06_2017
Georgia	LAUCN130050000000006          	2018	6	5166.0	06_2018
Georgia	LAUCN130050000000006          	2019	6	4999.0	06_2019
Georgia	LAUCN130050000000006          	2020	6	4842.0	06_2020
Georgia	LAUCN130070000000003          	2015	6	7.5	06_2015
Georgia	LAUCN130070000000003          	2016	6	7.9	06_2016
Georgia	LAUCN130070000000003          	2017	6	6.0	06_2017
Georgia	LAUCN130070000000003          	2018	6	5.7	06_2018
Georgia	LAUCN130070000000003          	2019	6	5.1	06_2019
Georgia	LAUCN130070000000003          	2020	6	7.3	06_2020
Georgia	LAUCN130070000000004          	2015	6	84.0	06_2015
Georgia	LAUCN130070000000004          	2016	6	94.0	06_2016
